,request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_time,drop_time,DayOfWeekNum,DayOfWeek,MonthDayNum,HourOfDay,MinOfDay,duration in minutes,hour
0,619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,11:51:00,13:00:00,0,Monday,7,11,51,-69.0,11
1,867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,17:57:00,18:47:00,0,Monday,7,17,57,-50.0,17
2,1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,09:17:00,09:58:00,2,Wednesday,7,9,17,-41.0,9
3,2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,21:08:00,22:03:00,2,Wednesday,7,21,8,-55.0,21
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,08:33:16,09:25:47,2,Wednesday,13,8,33,-52.516666666666666,8
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21:57:28,22:28:59,2,Wednesday,13,21,57,-31.516666666666666,21
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,06:15:32,07:13:15,3,Thursday,14,6,15,-57.71666666666667,6
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,05:11:52,06:07:52,4,Friday,15,5,11,-56.0,5
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17:57:27,18:50:51,4,Friday,15,17,57,-53.4,17
9,267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,06:46:00,07:25:00,0,Monday,7,6,46,-39.0,6
10,1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,05:08:00,06:02:00,2,Wednesday,7,5,8,-54.0,5
11,1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,12:30:00,12:57:00,2,Wednesday,7,12,30,-27.0,12
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,04:49:20,05:23:03,2,Wednesday,13,4,49,-33.71666666666667,4
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,08:02:53,09:16:19,2,Wednesday,13,8,2,-73.43333333333334,8
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14:23:02,15:35:18,2,Wednesday,13,14,23,-72.26666666666667,14
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17:23:18,18:20:51,2,Wednesday,13,17,23,-57.55,17
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12:01:02,12:36:46,3,Thursday,14,12,1,-35.733333333333334,12
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22:24:13,23:18:52,3,Thursday,14,22,24,-54.65,22
18,535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,10:00:00,10:31:00,0,Monday,7,10,0,-31.0,10
19,960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,18:45:00,19:23:00,0,Monday,7,18,45,-38.0,18
20,1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,11:17:00,12:23:00,2,Wednesday,7,11,17,-66.0,11
21,2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,15:46:00,16:40:00,2,Wednesday,7,15,46,-54.0,15
22,2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,18:00:00,18:28:00,2,Wednesday,7,18,0,-28.0,18
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,08:17:29,09:22:37,2,Wednesday,13,8,17,-65.13333333333334,8
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21:54:18,22:51:23,2,Wednesday,13,21,54,-57.083333333333336,21
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21:23:03,22:25:19,3,Thursday,14,21,23,-62.266666666666666,21
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,02:41:38,03:24:43,4,Friday,15,2,41,-43.083333333333336,2
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10:00:43,10:53:06,4,Friday,15,10,0,-52.38333333333333,10
28,669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,13:08:00,13:49:00,0,Monday,7,13,8,-41.0,13
29,1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,06:21:00,07:10:00,2,Wednesday,7,6,21,-49.0,6
30,1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,09:27:00,10:27:00,2,Wednesday,7,9,27,-60.0,9
31,2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,16:09:00,17:01:00,2,Wednesday,7,16,9,-52.0,16
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,05:34:20,06:09:59,2,Wednesday,13,5,34,-35.65,5
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19:57:59,20:32:04,2,Wednesday,13,19,57,-34.083333333333336,19
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,02:17:35,03:21:38,3,Thursday,14,2,17,-64.05,2
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13:01:10,13:45:28,3,Thursday,14,13,1,-44.3,13
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,08:30:06,09:37:20,4,Friday,15,8,30,-67.23333333333333,8
